time,A0912_j0,A0912_j1,A0912_j2,A0912_j3,A0912_j4,A0912_j5,A0912_X,A0912_Y,A0912_Z,A0912_Rx,A0912_Ry,A0912_Rz,A0912_solutionspace,M1013_j0,M1013_j1,M1013_j2,M1013_j3,M1013_j4,M1013_j5,M1013_X,M1013_Y,M1013_Z,M1013_Rx,M1013_Ry,M1013_Rz,M1013_solutionspace,Switch
2025-04-04T04:46:13.138742Z,,,,,,,,,,,,,,-26.5,-4.11,115.85,-175.92,-66.14,-2.68,447.89,-175.99,443.19,33.3,175.68,-121.3,3,
2025-04-04T04:46:13.138742Z,-15.13,11.19,112.35,-4.03,57.01,36.33,528.58,-108.51,335.18,66.67,-176.68,115.74,2,,,,,,,,,,,,,,
2025-04-03T19:46:24.804136Z,-14.97,14.25,79.46,1.99,,,637.12,-118.78,582.94,120.96,176.24,171.82,,,,,,,,,,,,,,,
2025-04-03T19:46:24.769922Z,,,,,,,,,,,,,,,,,,,,139.88,,,,,,,
2025-04-03T19:46:24.753953Z,,,,,,,637.24,-124.91,580.56,131.06,176.51,-177.72,,,,,,,,,,,,,,,
2025-04-03T19:46:24.703829Z,-15.93,14.96,79.75,-0.38,,,637.55,-132.15,576.77,148.08,176.63,-160.31,,,,,,,,,,,,,,,
2025-04-03T19:46:24.653721Z,,,,,,,637.37,-141.17,569.75,169.84,176.08,-138.1,,,,,,,,,,,,,,,
2025-04-03T19:46:24.603515Z,-17.02,15.88,81.22,-3.55,,,636.12,-151.17,558.81,5.33,-174.6,57.86,,,,,,,,,,,,,,,
2025-04-03T19:46:24.553349Z,,,,,,,633.53,-160.81,545.53,12.88,-172.62,65.83,,,,,,,,,,,,,,,
2025-04-03T19:46:24.503226Z,-18.08,16.75,83.61,-6.94,,,630.3,-168.9,532.39,16.23,-170.62,69.48,,,,,,,,,,,,,,,
2025-04-03T19:46:24.453040Z,,,,,,,625.33,-177.73,516.49,18.21,-168.18,71.75,,,,,,,,,,,,,,,
2025-04-03T19:46:24.402874Z,-19.06,17.24,86.41,-10.43,89.16,,618.86,-185.97,500.83,19.46,-165.68,73.2,,,,,,,,,,,,,,,
2025-04-03T19:46:24.352704Z,,,,,,,611.38,-193.18,487.86,20.75,-163.34,74.63,,,,,,,,,,,,,,,
2025-04-03T19:46:24.315852Z,,,,,,,,,,,,,,,,,,,,139.87,,,,,,,
2025-04-03T19:46:24.302580Z,-19.89,,89.11,-14.57,89.0,,603.27,-199.86,476.87,22.51,-161.05,76.4,,,,,,,,,,,,,,,
2025-04-03T19:46:24.265626Z,,,,,,,,,,,,,,,,,,,,139.88,,,,,,,
2025-04-03T19:46:24.252415Z,,,,,,,595.14,-206.87,467.0,24.91,-158.67,78.68,,,,,,,,,,,,,,,
2025-04-03T19:46:24.215112Z,,,,,,,,,,,,,,,,,,,,139.87,,,,,,,
2025-04-03T19:46:24.202151Z,,,,,,,590.69,-211.1,461.91,26.48,-157.3,80.12,,,,,,,,,,,,,,,
2025-04-03T19:46:24.151837Z,-20.68,,91.43,-19.57,88.26,,580.03,-222.92,450.31,30.9,-153.84,84.07,,,,,,,,,,,,,,,
2025-04-03T19:46:24.114268Z,,,,,,,,,,,,,,,,,,,,139.88,,,,,,,
2025-04-03T19:46:24.101701Z,-21.64,,93.57,-25.33,86.57,,576.13,-228.0,446.21,32.72,-152.53,85.65,,,,,,,,,,,,,,,
2025-04-03T19:46:24.051556Z,,,,,,,567.15,-241.46,437.06,37.36,-149.31,89.5,,,,,,,,,,,,,,,
2025-04-03T19:46:24.000049Z,-22.75,,95.57,-31.71,83.83,,,,,,,,,,,,,,,,,,,,,,
2025-04-03T19:46:23.949920Z,-23.84,,97.48,-38.61,80.41,,558.23,-258.06,428.09,42.97,-145.69,93.81,,,,,,,,,,,,,,,
2025-04-03T19:46:23.899308Z,,,,,,,550.04,-275.79,420.05,48.84,-141.67,97.68,,,,,,,,,,,,,,,
2025-04-03T19:46:23.849090Z,-24.84,,99.44,-45.92,76.77,,,,,,,,,,,,,,,,,,,,,,
2025-04-03T19:46:23.748713Z,,,,,,,539.09,-301.31,409.0,57.32,-134.92,101.55,,,,,,,,,,,,,,,
2025-04-03T19:46:23.648094Z,-25.74,,101.49,-53.48,73.24,,533.11,-314.48,402.83,61.75,-130.71,102.37,,,,,,,,,,,,,,,
2025-04-03T19:46:23.597923Z,,,,,,,529.76,-322.18,399.2,64.52,-128.01,102.46,,,,,,,,,,,,,,,
2025-04-03T19:46:23.547404Z,-26.46,17.28,103.43,-61.01,69.7,,526.44,-333.73,393.24,70.04,-123.3,102.1,,,,,,,,,,,,,,,
2025-04-03T19:46:23.446698Z,-26.78,17.3,105.02,-68.08,65.52,,527.66,-337.71,390.53,73.55,-121.19,101.88,,,,,,,,,,,,,,,
2025-04-03T19:46:23.407733Z,,,,,,,,,,,,,,,,,,,,139.87,,,,,,,
2025-04-03T19:46:23.396334Z,,,106.12,-74.15,60.19,,534.33,-341.12,386.67,80.2,-118.66,101.74,,,,,,,,,,,,,,,
2025-04-03T19:46:23.357606Z,,,,,,,,,,,,,,,,,,,,139.88,,,,,,,
2025-04-03T19:46:23.345905Z,,,,,,,539.72,-342.02,385.17,84.03,-117.92,101.94,,,,,,,,,,,,,,,
2025-04-03T19:46:23.295778Z,,,,,,,548.42,-342.61,384.51,89.05,-117.5,102.6,,,,,,,,,,,,,,,
2025-04-03T19:46:23.245645Z,,17.32,,-78.85,53.56,,557.03,-342.32,384.25,93.57,-117.58,103.54,,,,,,,,,,,,,,,
2025-04-03T19:46:23.195491Z,,,,,,,565.04,-341.08,383.55,97.82,-118.0,104.65,,,,,,,,,,,,,,,
2025-04-03T19:46:23.145334Z,,17.29,,-81.86,45.89,,573.83,-338.46,382.92,102.77,-118.78,106.3,,,,,,,,,,,,,,,
2025-04-03T19:46:23.095211Z,,,,,,,581.39,-335.06,,107.32,-119.68,108.2,,,,,,,,,,,,,,,
2025-04-03T19:46:23.045031Z,,17.03,,-83.13,37.38,,589.34,-330.24,382.55,112.52,-120.78,110.81,,,,,,,,,,,,,,,
2025-04-03T19:46:22.843446Z,,,106.5,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03T19:46:22.390999Z,,14.78,109.15,-83.29,-14.55,,,,,,,,,,,,,,,,,,,,,,
2025-04-03T19:46:22.290277Z,-26.79,14.39,110.85,-83.54,-22.14,,630.17,-229.5,380.4,174.61,-120.64,144.57,,,,,,,,,,,,,,,
2025-04-03T19:46:22.240159Z,,,,,,,626.19,-218.32,376.45,179.24,-120.03,147.02,,,,,,,,,,,,,,,
2025-04-03T19:46:22.190029Z,-26.84,14.17,112.56,-84.04,-29.96,,,,,,,,,,,,,,,,,,,,,,
2025-04-03T19:46:22.139849Z,,,,,,,618.7,-200.13,369.77,6.93,118.7,-29.01,,,,,,,,,,,,,,,
2025-04-03T19:46:22.089727Z,-26.91,,113.94,-84.6,-38.21,,613.84,-188.13,366.32,12.18,117.41,-26.37,,,,,,,,,,,,,,,
2025-04-03T19:46:22.039605Z,,,,,,,609.65,-178.24,364.31,16.59,116.05,-24.22,,,,,,,,,,,,,,,
2025-04-03T19:46:21.989413Z,-27.01,,115.09,,-46.93,,600.74,-159.67,363.43,24.95,112.45,-20.12,,,,,,,,,,,,,,,
2025-04-03T19:46:21.939247Z,,,,,,,596.99,-153.19,363.72,27.87,110.9,-18.72,,,,,,,,,,,,,,,
2025-04-03T19:46:21.889100Z,-27.15,,116.26,,-55.88,,592.15,-145.87,364.28,31.2,108.97,-17.18,,,,,,,,,,,,,,,
2025-04-03T19:46:21.838965Z,,,,,,,588.02,-140.29,364.7,33.71,107.43,-16.06,,,,,,,,,,,,,,,
2025-04-03T19:46:21.788839Z,,,117.75,,-65.23,,581.32,-131.77,365.19,37.34,105.07,-14.49,,,,,,,,,,,,,,,
2025-04-03T19:46:21.738688Z,,,,,,,570.65,-120.08,365.41,42.16,101.69,-12.45,,,,,,,,,,,,,,,
2025-04-03T19:46:21.696307Z,,,,,,,,,,,,,,,,,,,,139.87,,,,,,,
